Name,Calories,Protein,Carbs,Fat
"Peanuts, spanish, oil-roasted, with salt",579.0,28.01,17.45,49.04
"Fast Foods, crispy chicken filet sandwich, with lettuce and mayonnaise",276.0,10.94,27.4,13.59
"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",351.0,22.77,0.0,28.11
"Chocolate-flavor beverage mix for milk, powder, with added nutrients",400.0,4.55,90.28,2.27
"Cake, marble, dry mix, pudding-type",416.0,3.4,79.5,11.7
"Fast Foods, Fried Chicken, Drumstick, meat and skin with breading",267.0,21.13,7.59,16.92
"Mushrooms, canned, drained solids",25.0,1.87,5.09,0.29
"Sauce, worcestershire",78.0,0.0,19.46,0.0
"Peaches, dehydrated (low-moisture), sulfured, stewed",133.0,2.01,34.14,0.42
"Pork, cured, ham -- water added, whole, boneless, separable lean only, heated, roasted",117.0,17.99,1.57,4.39
"Beans, snap, green, microwaved",39.0,2.31,6.41,0.5
"Cabbage, savoy, raw",27.0,2.0,6.1,0.1
